"r","yr","value"
"pa",2018,2079.8199511288
"ri",2018,35.225464006004
"sc",2018,868.441351225261
"sd",2018,3536.66733275345
"tn",2018,1503.78294689754
"tx",2018,6879.88053354197
"ut",2018,442.467772489437
"vt",2018,189.663356790568
"va",2018,1144.33425716168
"wa",2018,3694.89709900194
"wv",2018,165.275636058489
"wi",2018,3050.36926963085
"wy",2018,345.735979862775
"al",2019,1397.04819829142
"ak",2019,18.35829206885
"az",2019,1602.90329127718
"ar",2019,3057.52666318352
"ca",2019,24319.7454780933
"co",2019,1850.30717275853
"ct",2019,280.874156156181
"de",2019,264.645732656142
"fl",2019,3573.1554281139
"ga",2019,2768.13305669795
"hi",2019,329.150038533288
